album	artist	genre	score	author	date	link	genre_num
Talking Heads Brick	Talking Heads	Rock	9.1	Joe Tangari	October 16 2005	https://pitchfork.com/reviews/albums/8267-talking-heads-brick/	7
Let It Be... Naked	The Beatles	Rock	7.0	Dominique Leone	November 19 2003	https://pitchfork.com/reviews/albums/1093-let-it-be-naked/	7
24 Hour Party People	Various Artists	nan	7.0	Christopher Dare	August 19 2002	https://pitchfork.com/reviews/albums/7857-24-hour-party-people/	9
Tonight's the Night	Neil Young	Rock	10.0	Mark Richardson	June 26 2016	https://pitchfork.com/reviews/albums/22053-tonights-the-night/	7
Songs in the Key of Life	Stevie Wonder	Pop/R&B	10.0	Alan Light	August 21 2016	https://pitchfork.com/reviews/albums/22174-songs-in-the-key-of-life/	3
The Disintegration Loops	William Basinski	Experimental	10.0	Mark Richardson	November 19 2012	https://pitchfork.com/reviews/albums/17064-the-disintegration-loops/	0
Suede [Deluxe Edition]	Suede	Rock	8.4	Joe Tangari	June 7 2011	https://pitchfork.com/reviews/albums/15493-suede-deluxe-edition-dog-man-star-deluxe-edition/	7
Sorry Ma, Forgot to Take Out the Trash	The Replacements	Rock	9.4	Mark Richardson	April 21 2008	https://pitchfork.com/reviews/albums/11676-sorry-ma-forgot-to-take-out-the-trash-stink-hootenanny-let-it-be/	7
The Promise: The Darkness on the Edge of Town Story	Bruce Springsteen	Rock	9.5	Mark Richardson	November 17 2010	https://pitchfork.com/reviews/albums/14869-the-promise-the-darkness-on-the-edge-of-town-story-the-promise/	7
The Smile Sessions	The Beach Boys	Rock	10.0	Mark Richardson	November 2 2011	https://pitchfork.com/reviews/albums/16000-the-smile-sessions/	7
Seventeen Seconds	The Cure	Rock	7.5	Nitsuh Abebe	May 12 2005	https://pitchfork.com/reviews/albums/11706-seventeen-seconds-faith-pornography/	7
The Second Annual Report of Throbbing Gristle	Throbbing Gristle	Electronic,Experimental,Rock	8.6	Drew Daniel	December 7 2011	https://pitchfork.com/reviews/albums/16108-throbbing-gristle/	2
Random Access Memories	Daft Punk	Electronic	8.8	Mark Richardson	May 20 2013	https://pitchfork.com/reviews/albums/18028-daft-punk-random-access-memories/	2
Controversy	Prince	Pop/R&B,Rock	9.0	Daphne A. Brooks	April 29 2016	https://pitchfork.com/reviews/albums/21843-controversy/	3
The Fragile (2017 Definitive Edition)	Nine Inch Nails	Rock	8.7	Sean T. Collins	January 11 2017	https://pitchfork.com/reviews/albums/22746-the-fragile-2017-definitive-edition-the-fragile-deviations-1/	7
Higher!	Sly and the Family Stone	Rock	9.0	Nate Patrin	August 29 2013	https://pitchfork.com/reviews/albums/18442-sly-and-the-family-stone-higher/	7
Treats	Sleigh Bells	Pop/R&B	8.7	Mark Richardson	May 14 2010	https://pitchfork.com/reviews/albums/14251-treats/	3
Led Zeppelin	Led Zeppelin	Rock	9.2	Mark Richardson	June 12 2014	https://pitchfork.com/reviews/albums/19418-led-zeppelin-led-zeppelin-ii-led-zeppelin-iii/	7
Lullabies to Violaine: Singles and Extended Plays 1982-1996, Vol. 1	Cocteau Twins	Rock	8.5	Nitsuh Abebe	March 29 2006	https://pitchfork.com/reviews/albums/11702-lullabies-to-violaine-singles-and-extended-plays-1982-1996-vol-1-vol-2/	7
Picture Book	The Kinks	Rock	7.3	Joe Tangari	January 13 2009	https://pitchfork.com/reviews/albums/12554-picture-book/	7
No Thanks!: The 70s Punk Rebellion	Various Artists	nan	10.0	Eric Carr	February 10 2004	https://pitchfork.com/reviews/albums/1969-no-thanks-the-70s-punk-rebellion/	9
Combing the Clouds	Waking Eyes	Rock	5.6	Joe Tangari	March 11 2002	https://pitchfork.com/reviews/albums/8566-combing-the-clouds/	7
How the West Was Won	Led Zeppelin	Rock	8.8	Dominique Leone	June 11 2003	https://pitchfork.com/reviews/albums/4707-how-the-west-was-won/	7
Sing along with Los Straitjackets	Los Straitjackets	Rock	7.2	Dominique Leone	October 18 2001	https://pitchfork.com/reviews/albums/4864-sing-along-with-los-straitjackets/	7
The Brit Box: U.K. Indie, Shoegaze and Brit-Pop Gems of the Last Millennium	Various Artists	nan	5.9	Scott Plagenhoef	January 18 2008	https://pitchfork.com/reviews/albums/11060-the-brit-box-uk-indie-shoegaze-and-brit-pop-gems-of-the-last-millennium/	9
Close To the Noise Floor - Formative UK Electronica 1975 - 1984	Various Artists	nan	8.1	Simon Reynolds	May 3 2016	https://pitchfork.com/reviews/albums/21653-close-to-the-noise-floor-formative-uk-electronica-1975-1984/	9
The Ties That Bind: The River Collection	Bruce Springsteen	Rock	8.7	Stephen Thomas Erlewine	December 7 2015	https://pitchfork.com/reviews/albums/21306-the-ties-that-bind-the-river-collection/	7
Return the Gift	Gang of Four	Rock	6.0	Joe Tangari	October 12 2005	https://pitchfork.com/reviews/albums/3390-return-the-gift/	7
All Things Must Pass	George Harrison	Rock	9.0	Jayson Greene	June 19 2016	https://pitchfork.com/reviews/albums/22037-all-things-must-pass/	7
Go 2	XTC	Electronic,Rock	6.9	Chris Dahlen	July 9 2002	https://pitchfork.com/reviews/albums/8833-go-2-black-sea-english-settlement/	2
Still in a Dream: A Story of Shoegaze 1988-1995	Various Artists	nan	8.0	Simon Reynolds	February 3 2016	https://pitchfork.com/reviews/albums/21499-still-in-a-dream-a-story-of-shoegaze-1988-1995/	9
